,movieId,polarity,subjectivity
0,40339,0.17,0.52
1,6544,0.26,0.58
2,26470,0.11,0.55
3,8533,0.04,0.54
4,2013,0.23,0.37
5,40723,-0.1,0.44
6,41569,0.22,0.51
7,128966,0.09,0.54
8,8981,0.16,0.53
9,2013,-0.01,0.52
10,47805,0.14,0.53
11,6539,0.31,0.5
12,898,0.31,0.5
13,67098,0.18,0.65
14,41569,0.06,0.52
15,2013,0.15,0.44
16,93191,0.04,0.62
17,6561,0.08,0.47
18,1779,0.23,0.55
19,38600,0.12,0.44
20,8810,0.13,0.55
21,2013,0.13,0.46
22,39715,0.14,0.44
23,30793,0.02,0.58
24,45003,0.16,0.51
25,42723,0.11,0.55
26,32596,0.2,0.45
27,6707,-0.05,0.57
28,41569,0.3,0.67
29,33880,0.19,0.55
30,39446,0.21,0.69
31,1222,0.32,0.53
32,7125,0.28,0.65
33,180627,0.16,0.52
34,41566,0.3,0.61
35,4995,0.52,0.46
36,2340,0.03,0.52
37,27840,0.04,0.59
38,2013,0.04,0.41
39,111525,0.14,0.56
40,32779,0.2,0.63
41,33669,0.37,0.64
42,1994,0.26,0.51
43,5114,0.25,0.64
44,5109,0.18,0.51
45,38886,0.12,0.61
46,2013,0.34,0.49
47,39183,0.14,0.55
48,39183,0.27,0.62
49,42002,0.06,0.54
50,135172,0.0,0.54
51,8686,0.37,0.6
52,130570,0.35,0.45
53,2997,0.15,0.74
54,2013,0.23,0.5
55,45183,0.16,0.41
56,2013,-0.03,0.51
57,1396,0.04,0.57
58,8631,0.14,0.53
59,8487,0.26,0.56
60,6322,0.28,0.63
61,39715,-0.01,0.54
62,41569,0.12,0.46
63,30707,0.26,0.71
64,41569,0.07,0.51
65,2013,0.27,0.53
66,3504,0.09,0.51
67,146178,0.4,0.6
68,2013,0.13,0.57
69,72261,0.26,0.57
70,61913,-0.14,0.49
71,77433,0.16,0.54
72,105873,0.12,0.4
73,964,0.22,0.49
74,390,0.28,0.55
75,3261,0.21,0.5
76,2013,0.24,0.44
77,132922,0.22,0.54
78,41569,0.26,0.47
79,2232,0.15,0.46
80,5609,-0.1,0.51
81,41569,0.19,0.56
82,2013,0.71,0.73
83,6301,0.03,0.61
84,7439,0.16,0.48
85,180547,-0.06,0.53
86,1590,0.07,0.56
87,5766,0.09,0.39
88,124322,0.17,0.56
89,2013,0.0,0.48
90,170305,0.13,0.58
91,47254,0.29,0.51
92,27783,0.21,0.58
93,161740,0.14,0.47
94,39183,0.46,0.68
95,25794,0.37,0.61
96,963,0.2,0.44
97,2013,0.13,0.46
98,1339,0.44,0.56
99,965,0.14,0.53
100,135555,0.24,0.54
101,7438,0.1,0.58
102,53370,0.15,0.46
103,142266,0.41,0.43
104,2013,0.14,0.47
